trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",30,7,-222.1253934560198,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 5}",1
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-125.72608260465604,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",30,0,-233.7426879649845,"{0: 14, 1: 3, 2: 8, 3: 2, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,8,-122.9876462211873,"{0: 9, 1: 0, 2: 5, 3: 2, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",30,0,-262.09151832167686,"{0: 14, 1: 4, 2: 6, 3: 2, 4: 4}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-141.32246595761032,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,0,-163.9121457260714,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-73.05707731367171,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,0,-111.79454588918102,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",30,10,-56.28694340386368,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",30,0,-40.97883587115236,"{0: 21, 1: 6, 2: 2, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-73.12765892184355,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",25,0,-93.45035298871137,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-57.839117989892564,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",30,10,-123.54788843736253,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",1
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,0,-60.251723231552845,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,0,-53.06986220893016,"{0: 20, 1: 0, 2: 2, 3: 3, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-37.411555676869895,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,0,-131.85976895680741,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-37.31616759519492,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,13,2.2595592270985154,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-89.70434532434896,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
